t,s,w
t521,0,0
t522,0,0
t523,0,0
t524,0,0
t525,0,0
t526,0,0
t527,0,0
t528,0,0.001
t529,0.105,0.002
t530,0.327,0.001
t531,0.531,0
t532,0.646,0.003
t533,0.699,0.01
t534,0.697,0.015
t535,0.64,0.015
t536,0.511,0.016
t537,0.314,0.027
t538,0.092,0.038
t539,0,0.02
t540,0,0.005
t541,0,0.002
t542,0,0.002
t543,0,0.002
t544,0,0.002
t545,0,0.001
t546,0,0
t547,0,0
t548,0,0.002
t549,0,0.006
t550,0,0.013
t551,0,0.02
t552,0,0.028
t553,0.093,0.035
t554,0.328,0.011
t555,0.535,0
t556,0.66,0
t557,0.717,0
t558,0.715,0
t559,0.651,0
t560,0.531,0
t561,0.326,0.003
t562,0.098,0.017
t563,0,0.014
t564,0,0.007
t565,0,0.005
t566,0,0.01
t567,0,0.032
t568,0,0.063
t569,0,0.087
t570,0,0.092
t571,0,0.075
t572,0,0.048
t573,0,0.02
t574,0,0.004
t575,0,0.001
t576,0,0.001
t577,0.096,0.001
t578,0.317,0
t579,0.514,0.002
t580,0.65,0.02
t581,0.714,0.023
t582,0.716,0.026
t583,0.651,0.03
t584,0.524,0.032
t585,0.328,0.038
t586,0.1,0.043
t587,0,0.013
t588,0,0.002
t589,0,0
t590,0,0
t591,0,0.001
t592,0,0.003
t593,0,0.012
t594,0,0.027
t595,0,0.027
t596,0,0.023
t597,0,0.018
t598,0,0.019
t599,0,0.025
t600,0,0.032
t601,0.023,0.039
t602,0.089,0.034
t603,0.158,0.02
t604,0.212,0.017
t605,0.244,0.016
t606,0.261,0.017
t607,0.218,0.019
t608,0.172,0.028
t609,0.102,0.038
t610,0.027,0.055
t611,0,0.06
t612,0,0.054
t613,0,0.046
t614,0,0.037
t615,0,0.024
t616,0,0.018
t617,0,0.015
t618,0,0.017
t619,0,0.023
t620,0,0.028
t621,0,0.035
t622,0,0.052
t623,0,0.064
t624,0,0.062
t625,0.022,0.05
t626,0.105,0.037
t627,0.22,0.042
t628,0.34,0.051
t629,0.389,0.051
t630,0.408,0.054
t631,0.377,0.052
t632,0.287,0.051
t633,0.167,0.055
t634,0.045,0.064
t635,0,0.034
t636,0,0.008
t637,0,0.004
t638,0,0.004
t639,0,0.003
t640,0,0.002
t641,0,0.001
t642,0,0.002
t643,0,0.004
t644,0,0.005
t645,0,0.009
t646,0,0.016
t647,0,0.018
t648,0,0.014
t649,0.052,0.01
t650,0.208,0.003
t651,0.404,0.005
t652,0.617,0.01
t653,0.685,0.005
t654,0.651,0.002
t655,0.595,0.003
t656,0.472,0.009
t657,0.292,0.014
t658,0.087,0.036
t659,0,0.03
t660,0,0.027
t661,0,0.027
t662,0,0.023
t663,0,0.015
t664,0,0.012
t665,0,0.011
t666,0,0.011
t667,0,0.012
t668,0,0.013
t669,0,0.016
t670,0,0.019
t671,0,0.024
t672,0,0.027
t673,0.044,0.025
t674,0.177,0.01
t675,0.335,0.012
t676,0.449,0.013
t677,0.516,0.006
t678,0.548,0.005
t679,0.482,0.01
t680,0.387,0.013
t681,0.234,0.015
t682,0.07,0.018
t683,0,0.017
t684,0,0.013
t685,0,0.014
t686,0,0.017
t687,0,0.007
t688,0,0.003
t689,0,0
t690,0,0
t691,0,0
t692,0,0
t693,0,0
t694,0,0
t695,0,0
t696,0,0.001
t697,0.023,0.005
t698,0.093,0.006
t699,0.217,0.012
t700,0.347,0.027
t701,0.38,0.048
t702,0.363,0.061
t703,0.273,0.077
t704,0.182,0.1
t705,0.109,0.105
