City,Province,Ycase,Scase,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,TotalTransportCost_mUSD
Dalian,Liaoning ,Y2030,S2,3.390097175,129.0182906,-2.91E-11,44.24728602,0,25.19216867,1.14513782,6.28E-05,29.41087567,11.30716938,47.85582777,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Dalian,Liaoning ,Y2030,S3,2.646870765,82.08367529,-3.60E-11,28.15633767,0,16.79477911,0.917395197,4.74E-05,29.42424242,11.31391414,33.64428989,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Dalian,Liaoning ,Y2040,S1,11.99080344,155.5104654,0,50.83742218,0,33.58955823,1.372880442,8.76E-05,29.37615157,11.28964788,57.72423007,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
Dalian,Liaoning ,Y2040,S2,8.666280558,111.5634918,0,36.47195117,0,25.19216867,1.14513782,6.42E-05,29.38733886,11.29529289,43.93065766,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Dalian,Liaoning ,Y2040,S3,5.733109741,71.13250481,0,23.26664297,0,16.79477911,0.917395197,4.58E-05,29.40726201,11.30534596,31.13473677,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Dalian,Liaoning ,Y2050,S1,32.98663955,118.5666041,0,38.69243873,0,33.58955823,1.372880442,7.18E-05,29.4061185,11.30476895,52.21665457,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
Dalian,Liaoning ,Y2050,S2,23.66055134,85.12703668,0,27.75644308,0,25.19216867,1.14513782,6.69E-05,29.41626592,11.30988926,39.98098068,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Dalian,Liaoning ,Y2050,S3,15.00976814,54.51479599,0,17.73288822,0,16.79477911,0.917395197,4.63E-05,29.43809043,11.32090173,28.61571032,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Datong,Shanxi ,YCurrent,S1,113.3267925,169.7754626,0,94.20474836,0,33.58955823,1.372880442,6.83E-05,29.27676565,11.23949853,88.91034957,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Datong,Shanxi ,YCurrent,S2,81.2909872,121.8870337,-8.80E-12,67.59825028,0,25.19216867,1.14513782,5.43E-05,29.28531919,11.24381458,66.3005289,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Datong,Shanxi ,YCurrent,S3,51.86226319,77.97442489,-6.72E-12,43.16664471,0,16.79477911,0.917395197,4.06E-05,29.30099127,11.25172258,45.41251765,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Datong,Shanxi ,Y2030,S1,137.5446,83.11838659,-2.77E-11,73.15767005,0,33.58955823,1.372880442,7.79E-05,29.40278863,11.30308873,72.55395928,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Datong,Shanxi ,Y2030,S2,97.18960806,61.72895701,5.18E-12,51.96139956,0,25.19216867,1.14513782,6.92E-05,29.40548112,11.30444733,54.57461787,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Datong,Shanxi ,Y2030,S3,61.73825492,39.91663955,0,33.09369722,0,16.79477911,0.917395197,4.24E-05,29.42324125,11.31340895,37.93682255,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Datong,Shanxi ,Y2040,S1,141.4335697,41.49518741,1.39E-11,69.5747571,0,33.58955823,1.372880442,0.000104533,29.59349133,11.39931579,64.49715099,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Datong,Shanxi ,Y2040,S2,99.57257693,32.3998646,-1.87E-11,49.29250794,0,25.19216867,1.14513782,8.58E-05,29.57858423,11.39179379,48.81047209,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Datong,Shanxi ,Y2040,S3,62.0819245,22.83150818,-5.73E-12,30.96174202,0,16.79477911,0.917395197,5.59E-05,29.5732539,11.38910414,34.27510605,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Datong,Shanxi ,Y2050,S1,127.2023003,13.86216524,1.74E-12,62.57740511,0,33.58955823,1.372880442,0.000148587,30.22627354,11.71861267,55.08949631,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Datong,Shanxi ,Y2050,S2,90.19764704,11.5649498,-9.82E-12,44.56701048,0,25.19216867,1.14513782,9.74E-05,30.13103746,11.6705573,42.11368775,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
