t,s,w
t723,0.524,0.399
t724,0.745,0.586
t725,0.809,0.71
t726,0.778,0.794
t727,0.687,0.84
t728,0.501,0.858
t729,0.221,0.829
t730,0.006,0.748
t731,0,0.748
t732,0,0.754
t733,0,0.755
t734,0,0.743
t735,0,0.724
t736,0,0.746
t737,0,0.762
t738,0,0.766
t739,0,0.765
t740,0,0.758
t741,0,0.74
t742,0,0.692
t743,0,0.636
t744,0.019,0.578
t745,0.35,0.402
t746,0.605,0.535
t747,0.768,0.599
t748,0.854,0.556
t749,0.866,0.56
t750,0.814,0.589
t751,0.698,0.583
t752,0.507,0.498
t753,0.229,0.334
t754,0.008,0.213
t755,0,0.144
t756,0,0.144
t757,0,0.172
t758,0,0.2
t759,0,0.207
t760,0,0.225
t761,0,0.249
t762,0,0.265
t763,0,0.254
t764,0,0.21
t765,0,0.222
t766,0,0.217
t767,0,0.169
t768,0.004,0.213
t769,0.12,0.221
t770,0.373,0.184
t771,0.648,0.241
t772,0.751,0.32
t773,0.768,0.42
t774,0.697,0.501
t775,0.506,0.501
t776,0.288,0.499
t777,0.093,0.515
t778,0.002,0.535
t779,0,0.606
t780,0,0.683
t781,0,0.717
t782,0,0.693
t783,0,0.587
t784,0,0.403
t785,0,0.315
t786,0,0.323
t787,0,0.341
t788,0,0.302
t789,0,0.24
t790,0,0.217
t791,0,0.3
t792,0.014,0.464
t793,0.297,0.46
t794,0.555,0.762
t795,0.723,0.945
t796,0.818,0.979
t797,0.848,0.986
t798,0.818,0.983
t799,0.715,0.972
t800,0.532,0.944
t801,0.257,0.88
t802,0.012,0.761
t803,0,0.679
t804,0,0.635
t805,0,0.624
t806,0,0.624
t807,0,0.601
t808,0,0.578
t809,0,0.569
t810,0,0.589
t811,0,0.621
t812,0,0.652
t813,0,0.677
t814,0,0.672
t815,0,0.652
t816,0.022,0.613
t817,0.302,0.422
t818,0.541,0.282
t819,0.696,0.601
t820,0.775,0.813
t821,0.79,0.913
t822,0.747,0.955
t823,0.632,0.965
t824,0.453,0.949
t825,0.198,0.863
t826,0.008,0.765
t827,0,0.722
t828,0,0.637
t829,0,0.506
t830,0,0.362
t831,0,0.284
t832,0,0.29
t833,0,0.311
t834,0,0.292
t835,0,0.316
t836,0,0.374
t837,0,0.464
t838,0,0.523
t839,0,0.552
t840,0.023,0.559
t841,0.307,0.416
t842,0.526,0.209
t843,0.674,0.497
t844,0.767,0.791
t845,0.795,0.888
t846,0.739,0.926
t847,0.599,0.93
t848,0.388,0.902
t849,0.154,0.811
t850,0.008,0.746
t851,0,0.688
t852,0,0.644
t853,0,0.532
t854,0,0.348
t855,0,0.153
t856,0,0.058
t857,0,0.035
t858,0,0.039
t859,0,0.067
t860,0,0.053
t861,0,0.033
t862,0,0.03
t863,0,0.031
t864,0.022,0.038
t865,0.291,0.031
t866,0.542,0.035
t867,0.708,0.093
t868,0.804,0.33
t869,0.828,0.63
t870,0.789,0.797
t871,0.684,0.877
t872,0.485,0.896
t873,0.213,0.879
t874,0.016,0.878
t875,0,0.901
t876,0,0.896
t877,0,0.863
t878,0,0.814
t879,0,0.71
t880,0,0.557
t881,0,0.431
t882,0,0.328
t883,0,0.249
t884,0,0.212
t885,0,0.188
t886,0,0.104
t887,0,0.045
t888,0.053,0.032
t889,0.389,0.089
t890,0.586,0.106
t891,0.657,0.087
t892,0.708,0.067
t893,0.521,0.034
t894,0.381,0.009
