t,s,w
t517,0,0.195
t518,0,0.184
t519,0,0.145
t520,0,0.101
t521,0,0.059
t522,0,0.025
t523,0,0.009
t524,0,0.004
t525,0,0.003
t526,0,0.005
t527,0,0.009
t528,0.086,0.019
t529,0.366,0.03
t530,0.576,0.013
t531,0.709,0.002
t532,0.758,0.001
t533,0.762,0.004
t534,0.705,0.01
t535,0.54,0.018
t536,0.347,0.042
t537,0.104,0.081
t538,0,0.114
t539,0,0.134
t540,0,0.153
t541,0,0.164
t542,0,0.153
t543,0,0.121
t544,0,0.106
t545,0,0.114
t546,0,0.13
t547,0,0.139
t548,0,0.135
t549,0,0.131
t550,0,0.173
t551,0,0.257
t552,0.052,0.337
t553,0.273,0.328
t554,0.488,0.169
t555,0.631,0.194
t556,0.682,0.273
t557,0.684,0.205
t558,0.616,0.138
t559,0.413,0.08
t560,0.217,0.049
t561,0.05,0.03
t562,0,0.022
t563,0,0.018
t564,0,0.014
t565,0,0.013
t566,0,0.011
t567,0,0.009
t568,0,0.021
t569,0,0.161
t570,0,0.442
t571,0,0.652
t572,0,0.71
t573,0,0.728
t574,0,0.663
t575,0,0.624
t576,0.008,0.58
t577,0.061,0.594
t578,0.186,0.799
t579,0.326,0.8
t580,0.506,0.75
t581,0.667,0.711
t582,0.694,0.695
t583,0.585,0.695
t584,0.385,0.692
t585,0.123,0.648
t586,0,0.645
t587,0,0.586
t588,0,0.464
t589,0,0.32
t590,0,0.183
t591,0,0.08
t592,0,0.032
t593,0,0.013
t594,0,0.014
t595,0,0.027
t596,0,0.046
t597,0,0.067
t598,0,0.072
t599,0,0.057
t600,0.107,0.037
t601,0.402,0.008
t602,0.61,0.004
t603,0.742,0.004
t604,0.795,0.007
t605,0.797,0.011
t606,0.737,0.011
t607,0.594,0.007
t608,0.383,0.001
t609,0.125,0
t610,0,0
t611,0,0
t612,0,0.003
t613,0,0.032
t614,0,0.103
t615,0,0.181
t616,0,0.248
t617,0,0.302
t618,0,0.351
t619,0,0.38
t620,0,0.402
t621,0,0.42
t622,0,0.45
t623,0,0.532
t624,0.056,0.599
t625,0.232,0.448
t626,0.426,0.586
t627,0.483,0.772
t628,0.47,0.757
t629,0.326,0.691
t630,0.341,0.621
t631,0.232,0.496
t632,0.109,0.365
t633,0.018,0.274
t634,0,0.165
t635,0,0.095
t636,0,0.058
t637,0,0.032
t638,0,0.024
t639,0,0.026
t640,0,0.081
t641,0,0.193
t642,0,0.303
t643,0,0.389
t644,0,0.405
t645,0,0.358
t646,0,0.288
t647,0,0.233
t648,0.062,0.187
t649,0.319,0.097
t650,0.454,0.079
