t,s,w
t797,0.748,0.488
t798,0.72,0.415
t799,0.623,0.398
t800,0.468,0.371
t801,0.246,0.302
t802,0.031,0.225
t803,0,0.192
t804,0,0.175
t805,0,0.125
t806,0,0.051
t807,0,0.009
t808,0,0.004
t809,0,0.004
t810,0,0.001
t811,0,0.001
t812,0,0.002
t813,0,0.001
t814,0,0
t815,0,0
t816,0.009,0
t817,0.088,0.002
t818,0.197,0.003
t819,0.4,0.027
t820,0.57,0.11
t821,0.624,0.125
t822,0.664,0.116
t823,0.587,0.096
t824,0.427,0.083
t825,0.212,0.093
t826,0.025,0.199
t827,0,0.334
t828,0,0.432
t829,0,0.501
t830,0,0.544
t831,0,0.569
t832,0,0.541
t833,0,0.476
t834,0,0.384
t835,0,0.293
t836,0,0.227
t837,0,0.177
t838,0,0.179
t839,0,0.225
t840,0.007,0.235
t841,0.099,0.097
t842,0.28,0.041
t843,0.538,0.145
t844,0.703,0.206
t845,0.732,0.163
t846,0.695,0.118
t847,0.586,0.127
t848,0.424,0.153
t849,0.211,0.172
t850,0.026,0.291
t851,0,0.518
t852,0,0.623
t853,0,0.625
t854,0,0.604
t855,0,0.588
t856,0,0.571
t857,0,0.522
t858,0,0.337
t859,0,0.127
t860,0,0.073
t861,0,0.111
t862,0,0.174
t863,0,0.183
t864,0.002,0.115
t865,0.036,0.034
t866,0.083,0.025
t867,0.112,0.021
t868,0.071,0.025
t869,0.046,0.042
t870,0.044,0.097
t871,0.039,0.24
t872,0.025,0.432
t873,0.01,0.55
t874,0,0.558
t875,0,0.558
t876,0,0.538
t877,0,0.535
t878,0,0.578
t879,0,0.476
t880,0,0.441
t881,0,0.525
t882,0,0.591
t883,0,0.625
t884,0,0.654
t885,0,0.741
t886,0,0.831
t887,0,0.812
t888,0.026,0.744
t889,0.196,0.847
t890,0.394,0.834
t891,0.594,0.783
t892,0.686,0.713
t893,0.638,0.635
t894,0.529,0.626
t895,0.3,0.668
t896,0.182,0.693
t897,0.075,0.685
t898,0.009,0.585
t899,0,0.468
t900,0,0.372
t901,0,0.342
t902,0,0.334
t903,0,0.369
t904,0,0.404
t905,0,0.449
t906,0,0.446
t907,0,0.425
t908,0,0.402
t909,0,0.345
t910,0,0.31
t911,0,0.292
t912,0.014,0.304
t913,0.08,0.338
t914,0.12,0.352
t915,0.203,0.377
