t,s,w
t598,0,0.715
t599,0,0.707
t600,0.121,0.675
t601,0.358,0.69
t602,0.551,0.679
t603,0.681,0.621
t604,0.769,0.574
t605,0.767,0.542
t606,0.707,0.537
t607,0.561,0.568
t608,0.372,0.609
t609,0.14,0.632
t610,0.002,0.623
t611,0,0.632
t612,0,0.643
t613,0,0.644
t614,0,0.651
t615,0,0.647
t616,0,0.664
t617,0,0.668
t618,0,0.642
t619,0,0.611
t620,0,0.581
t621,0,0.546
t622,0,0.506
t623,0,0.476
t624,0.156,0.401
t625,0.396,0.406
t626,0.578,0.37
t627,0.713,0.315
t628,0.776,0.275
t629,0.774,0.245
t630,0.713,0.219
t631,0.601,0.205
t632,0.415,0.211
t633,0.17,0.223
t634,0.003,0.256
t635,0,0.262
t636,0,0.253
t637,0,0.237
t638,0,0.227
t639,0,0.231
t640,0,0.223
t641,0,0.207
t642,0,0.189
t643,0,0.177
t644,0,0.167
t645,0,0.152
t646,0,0.127
t647,0.001,0.107
t648,0.171,0.09
t649,0.404,0.036
t650,0.58,0.011
t651,0.69,0.003
t652,0.77,0.001
t653,0.765,0
t654,0.706,0
t655,0.589,0
t656,0.408,0.003
t657,0.168,0.029
t658,0.003,0.108
t659,0,0.136
t660,0,0.133
t661,0,0.145
t662,0,0.175
t663,0,0.205
t664,0,0.242
t665,0,0.284
t666,0,0.328
t667,0,0.362
t668,0,0.374
t669,0,0.373
t670,0,0.343
t671,0.001,0.319
t672,0.167,0.261
t673,0.387,0.252
t674,0.552,0.218
t675,0.667,0.171
t676,0.751,0.133
t677,0.75,0.105
t678,0.692,0.085
t679,0.574,0.08
t680,0.394,0.09
t681,0.161,0.112
t682,0.003,0.137
t683,0,0.14
t684,0,0.133
t685,0,0.13
t686,0,0.126
t687,0,0.119
t688,0,0.139
t689,0,0.177
t690,0,0.21
t691,0,0.227
t692,0,0.236
t693,0,0.237
t694,0,0.213
t695,0.001,0.179
t696,0.167,0.126
t697,0.396,0.051
t698,0.573,0.029
t699,0.686,0.007
t700,0.737,0
t701,0.734,0
t702,0.677,0
t703,0.567,0.001
t704,0.375,0.002
t705,0.136,0.01
t706,0.003,0.043
t707,0,0.064
t708,0,0.054
t709,0,0.026
t710,0,0.009
t711,0,0.004
t712,0,0.006
t713,0,0.013
t714,0,0.03
t715,0,0.053
t716,0,0.084
t717,0,0.125
t718,0,0.168
t719,0.002,0.203
t720,0.2,0.194
t721,0.419,0.111
t722,0.579,0.237
t723,0.68,0.476
t724,0.725,0.523
t725,0.715,0.514
t726,0.665,0.495
