t,s,w
t869,0.15,0.26
t870,0.202,0.275
t871,0.137,0.291
t872,0.1,0.305
t873,0.059,0.267
t874,0.003,0.227
t875,0,0.25
t876,0,0.245
t877,0,0.262
t878,0,0.319
t879,0,0.42
t880,0,0.548
t881,0,0.602
t882,0,0.586
t883,0,0.59
t884,0,0.651
t885,0,0.648
t886,0,0.591
t887,0,0.63
t888,0.005,0.819
t889,0.09,0.839
t890,0.393,0.768
t891,0.641,0.69
t892,0.727,0.599
t893,0.756,0.513
t894,0.765,0.423
t895,0.636,0.393
t896,0.447,0.394
t897,0.17,0.358
t898,0.012,0.317
t899,0,0.282
t900,0,0.222
t901,0,0.193
t902,0,0.162
t903,0,0.118
t904,0,0.084
t905,0,0.065
t906,0,0.061
t907,0,0.038
t908,0,0.023
t909,0,0.016
t910,0,0.009
t911,0,0.011
t912,0.037,0.003
t913,0.236,0
t914,0.417,0
t915,0.449,0
t916,0.39,0
t917,0.497,0
t918,0.592,0
t919,0.527,0
t920,0.346,0.02
t921,0.134,0.121
t922,0.01,0.355
t923,0,0.363
t924,0,0.199
t925,0,0.071
t926,0,0.021
t927,0,0.007
t928,0,0.001
t929,0,0
t930,0,0.003
t931,0,0.047
t932,0,0.153
t933,0,0.208
t934,0,0.311
t935,0,0.407
t936,0.028,0.37
t937,0.072,0.495
t938,0.298,0.626
t939,0.497,0.496
t940,0.564,0.328
t941,0.308,0.204
t942,0.333,0.151
t943,0.353,0.135
t944,0.274,0.132
t945,0.111,0.146
t946,0.008,0.171
t947,0,0.183
t948,0,0.136
t949,0,0.099
t950,0,0.061
t951,0,0.038
t952,0,0.054
t953,0,0.054
t954,0,0.047
t955,0,0.039
t956,0,0.021
t957,0,0.009
t958,0,0.003
t959,0,0
t960,0.009,0
t961,0.077,0
t962,0.178,0
t963,0.27,0.001
t964,0.354,0.004
t965,0.422,0.01
t966,0.377,0.023
t967,0.262,0.04
t968,0.206,0.071
t969,0.098,0.167
t970,0.009,0.393
t971,0,0.562
t972,0,0.582
t973,0,0.552
t974,0,0.514
t975,0,0.484
t976,0,0.483
t977,0,0.503
t978,0,0.499
t979,0,0.472
t980,0,0.444
t981,0,0.413
t982,0,0.37
t983,0,0.338
t984,0.049,0.317
t985,0.269,0.167
t986,0.495,0.016
t987,0.654,0.001
t988,0.731,0.008
t989,0.738,0.018
t990,0.654,0.054
t991,0.511,0.094
t992,0.35,0.133
t993,0.16,0.176
t994,0.015,0.193
t995,0,0.177
t996,0,0.138
t997,0,0.093
t998,0,0.058
t999,0,0.028
t1000,0,0.015
t1001,0,0.011
t1002,0,0.01
t1003,0,0.008
t1004,0,0.005
t1005,0,0.002
t1006,0,0.005
t1007,0,0.03
t1008,0.013,0.037
t1009,0.079,0.024
t1010,0.164,0.007
t1011,0.243,0.002
t1012,0.335,0.001
t1013,0.479,0
t1014,0.548,0.001
t1015,0.404,0.003
t1016,0.265,0.021
t1017,0.128,0.084
t1018,0.011,0.167
t1019,0,0.209
t1020,0,0.249
t1021,0,0.331
t1022,0,0.355
t1023,0,0.309
t1024,0,0.247
t1025,0,0.203
t1026,0,0.195
t1027,0,0.213
t1028,0,0.228
t1029,0,0.274
t1030,0,0.341
t1031,0,0.383
t1032,0.012,0.416
t1033,0.053,0.416
t1034,0.085,0.398
t1035,0.124,0.362
t1036,0.15,0.362
t1037,0.156,0.38
t1038,0.122,0.435
t1039,0.08,0.479
t1040,0.049,0.417
t1041,0.019,0.299
t1042,0,0.243
t1043,0,0.258
t1044,0,0.277
t1045,0,0.283
t1046,0,0.269
t1047,0,0.255
t1048,0,0.216
t1049,0,0.185
t1050,0,0.177
t1051,0,0.17
t1052,0,0.113
t1053,0,0.052
t1054,0,0.045
t1055,0,0.08
t1056,0.004,0.069
t1057,0.035,0.051
t1058,0.083,0.025
t1059,0.163,0.006
t1060,0.248,0
t1061,0.282,0
t1062,0.276,0
t1063,0.25,0.004
t1064,0.162,0.031
t1065,0.07,0.123
t1066,0.006,0.276
t1067,0,0.41
t1068,0,0.475
t1069,0,0.504
t1070,0,0.507
t1071,0,0.544
t1072,0,0.567
t1073,0,0.558
t1074,0,0.538
t1075,0,0.549
t1076,0,0.573
t1077,0,0.513
t1078,0,0.441
t1079,0,0.401
t1080,0.06,0.362
t1081,0.312,0.231
t1082,0.539,0.278
t1083,0.69,0.251
t1084,0.767,0.175
t1085,0.776,0.123
t1086,0.713,0.104
t1087,0.571,0.107
t1088,0.398,0.133
t1089,0.197,0.21
t1090,0.024,0.343
t1091,0,0.312
t1092,0,0.148
t1093,0,0.034
t1094,0,0.006
t1095,0,0.012
t1096,0,0.043
t1097,0,0.085
t1098,0,0.12
t1099,0,0.138
t1100,0,0.146
t1101,0,0.177
t1102,0,0.234
t1103,0,0.295
t1104,0.095,0.3
t1105,0.363,0.163
t1106,0.597,0.115
t1107,0.745,0.049
t1108,0.818,0.018
t1109,0.831,0.01
t1110,0.772,0.013
t1111,0.646,0.024
t1112,0.451,0.056
t1113,0.137,0.115
t1114,0.007,0.155
t1115,0,0.101
t1116,0,0.042
t1117,0,0.013
t1118,0,0.004
t1119,0,0.005
t1120,0,0.008
t1121,0,0.008
t1122,0,0.008
t1123,0,0.011
t1124,0,0.014
t1125,0,0.016
t1126,0,0.02
t1127,0,0.027
t1128,0.061,0.036
t1129,0.2,0.014
t1130,0.334,0.001
t1131,0.426,0
t1132,0.502,0
t1133,0.685,0
t1134,0.725,0
t1135,0.568,0
t1136,0.375,0.007
t1137,0.165,0.079
t1138,0.017,0.254
t1139,0,0.332
t1140,0,0.298
t1141,0,0.241
t1142,0,0.169
t1143,0,0.077
t1144,0,0.015
t1145,0,0.006
t1146,0,0.019
t1147,0,0.014
t1148,0,0.015
t1149,0,0.02
t1150,0,0.023
t1151,0,0.016
t1152,0.021,0.013
t1153,0.047,0.012
t1154,0.101,0.017
t1155,0.229,0.013
t1156,0.347,0.001
t1157,0.355,0.002
t1158,0.309,0.003
t1159,0.289,0.002
t1160,0.225,0.004
t1161,0.109,0.008
t1162,0.012,0.033
t1163,0,0.057
t1164,0,0.048
t1165,0,0.035
t1166,0,0.036
t1167,0,0.045
t1168,0,0.062
t1169,0,0.091
t1170,0,0.127
t1171,0,0.158
t1172,0,0.185
t1173,0,0.238
t1174,0,0.311
t1175,0,0.384
t1176,0.058,0.364
t1177,0.25,0.151
t1178,0.427,0.105
t1179,0.606,0.082
t1180,0.714,0.037
t1181,0.659,0.009
t1182,0.271,0.002
t1183,0.232,0.006
t1184,0.168,0.039
t1185,0.108,0.093
t1186,0.025,0.131
t1187,0,0.107
t1188,0,0.068
t1189,0,0.058
t1190,0,0.08
t1191,0,0.111
t1192,0,0.097
t1193,0,0.053
t1194,0,0.02
t1195,0,0.009
t1196,0,0.007
t1197,0,0.017
t1198,0,0.047
t1199,0,0.1
t1200,0.068,0.143
t1201,0.257,0.107
t1202,0.434,0.076
t1203,0.564,0.026
t1204,0.6,0.003
t1205,0.525,0
t1206,0.327,0
t1207,0.185,0
t1208,0.133,0.001
t1209,0.094,0.002
t1210,0.015,0.003
t1211,0,0.001
t1212,0,0
t1213,0,0
t1214,0,0
t1215,0,0
t1216,0,0
t1217,0,0.001
t1218,0,0.002
t1219,0,0.005
t1220,0,0.011
t1221,0,0.019
t1222,0,0.035
t1223,0,0.077
t1224,0.081,0.097
t1225,0.296,0.006
t1226,0.502,0
t1227,0.638,0.002
t1228,0.667,0.002
t1229,0.66,0
t1230,0.539,0
t1231,0.329,0.002
t1232,0.185,0.008
t1233,0.083,0.021
t1234,0.011,0.009
t1235,0,0
t1236,0,0
t1237,0,0.01
t1238,0,0.045
t1239,0,0.084
t1240,0,0.094
t1241,0,0.067
t1242,0,0.033
t1243,0,0.016
t1244,0,0.012
t1245,0,0.014
t1246,0,0.015
t1247,0,0.017
t1248,0.036,0.02
t1249,0.16,0.013
t1250,0.279,0.005
t1251,0.324,0.004
t1252,0.336,0.002
t1253,0.336,0
t1254,0.36,0
t1255,0.402,0.002
t1256,0.399,0.008
t1257,0.253,0.017
t1258,0.041,0.038
t1259,0,0.044
t1260,0,0.036
t1261,0,0.024
t1262,0,0.027
t1263,0,0.054
t1264,0,0.099
t1265,0,0.132
t1266,0,0.122
t1267,0,0.093
t1268,0,0.073
t1269,0,0.066
t1270,0,0.065
t1271,0,0.076
t1272,0.101,0.102
t1273,0.322,0.047
t1274,0.526,0.001
t1275,0.666,0
t1276,0.73,0
t1277,0.747,0
t1278,0.706,0
t1279,0.593,0.001
t1280,0.435,0.005
t1281,0.227,0.02
t1282,0.036,0.043
t1283,0,0.033
t1284,0,0.026
t1285,0,0.049
t1286,0,0.135
t1287,0,0.278
t1288,0,0.392
t1289,0,0.426
t1290,0,0.451
t1291,0,0.526
t1292,0,0.586
t1293,0,0.613
t1294,0,0.619
t1295,0,0.602
t1296,0.073,0.547
t1297,0.194,0.359
t1298,0.294,0.091
t1299,0.266,0.019
t1300,0.185,0.012
t1301,0.184,0.015
t1302,0.237,0.018
t1303,0.272,0.017
t1304,0.216,0.018
t1305,0.138,0.048
t1306,0.027,0.079
t1307,0,0.047
t1308,0,0.016
t1309,0,0.007
t1310,0,0.008
t1311,0,0.016
t1312,0,0.023
t1313,0,0.014
t1314,0,0.008
t1315,0,0.019
t1316,0,0.059
t1317,0,0.102
t1318,0,0.158
t1319,0,0.198
t1320,0.043,0.214
t1321,0.176,0.182
t1322,0.331,0.259
t1323,0.459,0.284
t1324,0.536,0.217
t1325,0.497,0.144
t1326,0.408,0.114
t1327,0.508,0.082
t1328,0.395,0.065
t1329,0.2,0.072
t1330,0.032,0.111
t1331,0,0.127
t1332,0,0.141
t1333,0,0.179
t1334,0,0.215
t1335,0,0.204
t1336,0,0.192
t1337,0,0.205
t1338,0,0.223
t1339,0,0.246
t1340,0,0.255
