t,s,w
t447,0,0.018
t448,0,0.001
t449,0,0
t450,0,0.001
t451,0,0.012
t452,0,0.066
t453,0,0.169
t454,0,0.287
t455,0,0.404
t456,0.013,0.514
t457,0.247,0.481
t458,0.494,0.328
t459,0.654,0.607
t460,0.718,0.407
t461,0.744,0.253
t462,0.704,0.181
t463,0.594,0.132
t464,0.41,0.074
t465,0.155,0.022
t466,0,0.001
t467,0,0
t468,0,0.034
t469,0,0.235
t470,0,0.505
t471,0,0.622
t472,0,0.623
t473,0,0.594
t474,0,0.575
t475,0,0.589
t476,0,0.608
t477,0,0.639
t478,0,0.644
t479,0,0.628
t480,0.038,0.602
t481,0.348,0.482
t482,0.573,0.257
t483,0.713,0.267
t484,0.784,0.144
t485,0.794,0.103
t486,0.746,0.086
t487,0.633,0.068
t488,0.449,0.039
t489,0.181,0.007
t490,0,0.001
t491,0,0.01
t492,0,0.103
t493,0,0.285
t494,0,0.437
t495,0,0.489
t496,0,0.491
t497,0,0.486
t498,0,0.47
t499,0,0.477
t500,0,0.514
t501,0,0.529
t502,0,0.464
t503,0,0.346
t504,0.032,0.261
t505,0.309,0.201
t506,0.534,0.063
t507,0.677,0.07
t508,0.746,0.035
t509,0.755,0.024
t510,0.704,0.017
t511,0.579,0.004
t512,0.392,0.001
t513,0.14,0.002
t514,0,0.034
t515,0,0.155
t516,0,0.343
t517,0,0.506
t518,0,0.578
t519,0,0.56
t520,0,0.437
t521,0,0.265
t522,0,0.137
t523,0,0.108
t524,0,0.169
t525,0,0.245
t526,0,0.316
t527,0,0.341
t528,0.022,0.315
t529,0.239,0.219
t530,0.46,0.077
t531,0.612,0.041
t532,0.628,0.026
t533,0.643,0.008
t534,0.592,0.002
t535,0.441,0.001
t536,0.261,0.001
t537,0.073,0.004
t538,0,0.017
t539,0,0.041
t540,0,0.061
t541,0,0.055
t542,0,0.042
t543,0,0.037
t544,0,0.035
t545,0,0.035
t546,0,0.036
t547,0,0.038
t548,0,0.045
t549,0,0.055
t550,0,0.067
t551,0,0.077
t552,0.009,0.088
t553,0.125,0.072
t554,0.286,0.025
t555,0.419,0.012
t556,0.452,0.009
t557,0.466,0.005
t558,0.421,0.001
t559,0.329,0
t560,0.144,0
t561,0.032,0.006
t562,0,0.085
t563,0,0.315
t564,0,0.563
t565,0,0.653
t566,0,0.657
t567,0,0.663
t568,0,0.668
t569,0,0.666
t570,0,0.674
t571,0,0.683
t572,0,0.658
t573,0,0.626
t574,0,0.609
t575,0,0.6
t576,0.006,0.583
t577,0.105,0.42
t578,0.271,0.61
t579,0.549,0.59
t580,0.653,0.447
t581,0.707,0.343
t582,0.692,0.3
t583,0.552,0.302
t584,0.366,0.308
t585,0.129,0.343
t586,0,0.371
t587,0,0.343
t588,0,0.277
t589,0,0.18
t590,0,0.084
t591,0,0.018
t592,0,0.002
t593,0,0
t594,0,0
t595,0,0.001
t596,0,0
t597,0,0
t598,0,0
t599,0,0
t600,0.031,0
t601,0.283,0
t602,0.51,0
t603,0.657,0
t604,0.733,0.002
t605,0.746,0.006
t606,0.686,0.017
t607,0.574,0.04
t608,0.386,0.084
t609,0.139,0.199
t610,0,0.381
t611,0,0.537
t612,0,0.651
t613,0,0.711
t614,0,0.71
t615,0,0.688
t616,0,0.671
t617,0,0.668
t618,0,0.659
t619,0,0.629
t620,0,0.58
t621,0,0.532
t622,0,0.492
t623,0,0.46
t624,0.008,0.421
t625,0.061,0.312
t626,0.107,0.208
t627,0.164,0.232
t628,0.247,0.209
t629,0.228,0.111
t630,0.164,0.031
t631,0.077,0.007
t632,0.051,0.004
t633,0.029,0.002
t634,0,0
t635,0,0
t636,0,0
t637,0,0
t638,0,0.035
t639,0,0.291
t640,0,0.574
t641,0,0.625
t642,0,0.555
t643,0,0.47
t644,0,0.345
t645,0,0.221
t646,0,0.137
t647,0,0.089
t648,0.018,0.063
t649,0.111,0.031
t650,0.327,0.005
t651,0.627,0.003
t652,0.738,0.001
t653,0.771,0
t654,0.659,0
t655,0.406,0
t656,0.212,0.001
t657,0.065,0.025
t658,0,0.092
t659,0,0.179
t660,0,0.242
t661,0,0.282
t662,0,0.311
t663,0,0.341
t664,0,0.398
t665,0,0.473
t666,0,0.528
t667,0,0.562
t668,0,0.556
t669,0,0.498
t670,0,0.424
t671,0,0.357
t672,0.009,0.308
t673,0.064,0.194
t674,0.124,0.12
t675,0.176,0.115
t676,0.214,0.186
t677,0.257,0.204
t678,0.226,0.194
t679,0.174,0.179
t680,0.106,0.259
t681,0.037,0.441
t682,0,0.599
t683,0,0.674
t684,0,0.685
t685,0,0.661
t686,0,0.613
t687,0,0.538
t688,0,0.464
t689,0,0.415
t690,0,0.386
t691,0,0.325
t692,0,0.212
t693,0,0.091
t694,0,0.011
t695,0,0.001
t696,0.005,0.086
t697,0.039,0.218
t698,0.057,0.252
t699,0.101,0.422
t700,0.16,0.734
t701,0.25,0.912
t702,0.3,0.947
t703,0.237,0.952
t704,0.069,0.938
t705,0.012,0.926
t706,0,0.882
t707,0,0.822
t708,0,0.763
t709,0,0.713
t710,0,0.646
t711,0,0.608
t712,0,0.58
t713,0,0.488
t714,0,0.59
t715,0,0.61
t716,0,0.538
t717,0,0.464
t718,0,0.43
t719,0,0.432
t720,0.02,0.353
t721,0.11,0.278
t722,0.205,0.154
t723,0.213,0.03
t724,0.246,0.002
t725,0.222,0
t726,0.179,0.001
t727,0.121,0.011
t728,0.079,0.018
t729,0.037,0.029
t730,0,0.066
t731,0,0.153
t732,0,0.264
t733,0,0.32
t734,0,0.334
t735,0,0.325
t736,0,0.31
t737,0,0.322
t738,0,0.351
t739,0,0.388
t740,0,0.403
t741,0,0.414
t742,0,0.425
t743,0,0.433
t744,0.041,0.402
t745,0.326,0.204
t746,0.555,0.088
t747,0.703,0.068
t748,0.78,0.118
t749,0.794,0.168
t750,0.746,0.212
t751,0.63,0.268
t752,0.442,0.315
t753,0.184,0.601
t754,0.004,0.866
t755,0,0.917
t756,0,0.906
t757,0,0.886
t758,0,0.879
t759,0,0.863
t760,0,0.836
t761,0,0.79
t762,0,0.724
t763,0,0.676
t764,0,0.655
t765,0,0.653
t766,0,0.638
t767,0,0.554
t768,0.022,0.476
t769,0.169,0.379
t770,0.359,0.473
t771,0.504,0.485
t772,0.627,0.361
t773,0.641,0.203
t774,0.588,0.084
t775,0.389,0.015
t776,0.178,0.004
t777,0.048,0
t778,0,0.017
t779,0,0.045
t780,0,0.094
t781,0,0.144
t782,0,0.147
t783,0,0.15
t784,0,0.179
t785,0,0.241
t786,0,0.315
t787,0,0.406
t788,0,0.516
t789,0,0.588
t790,0,0.656
t791,0,0.718
t792,0.007,0.658
t793,0.045,0.469
t794,0.11,0.249
t795,0.149,0.084
t796,0.228,0.088
t797,0.453,0.086
t798,0.649,0.032
t799,0.556,0.008
t800,0.375,0.001
t801,0.143,0.007
t802,0.003,0.015
t803,0,0.016
t804,0,0.106
t805,0,0.208
t806,0,0.29
t807,0,0.342
t808,0,0.361
t809,0,0.346
t810,0,0.235
t811,0,0.09
t812,0,0.02
t813,0,0.003
t814,0,0.001
t815,0,0.002
t816,0.036,0.004
t817,0.313,0.004
t818,0.53,0.006
t819,0.657,0.034
t820,0.608,0.145
t821,0.57,0.316
t822,0.544,0.55
t823,0.447,0.71
t824,0.323,0.757
t825,0.142,0.876
t826,0.003,0.961
t827,0,0.976
t828,0,0.973
t829,0,0.961
t830,0,0.934
t831,0,0.9
t832,0,0.854
t833,0,0.76
t834,0,0.571
t835,0,0.332
t836,0,0.205
t837,0,0.143
t838,0,0.096
t839,0,0.073
t840,0.032,0.053
t841,0.201,0.024
t842,0.367,0.028
t843,0.289,0.072
t844,0.302,0.085
t845,0.42,0.068
t846,0.153,0.088
t847,0.107,0.104
t848,0.07,0.097
t849,0.022,0.095
t850,0,0.094
t851,0,0.101
t852,0,0.114
t853,0,0.051
t854,0,0.009
t855,0,0.07
t856,0,0.265
t857,0,0.434
t858,0,0.457
t859,0,0.332
t860,0,0.232
t861,0,0.233
t862,0,0.321
t863,0,0.38
t864,0.014,0.382
t865,0.103,0.431
t866,0.218,0.462
t867,0.256,0.447
t868,0.249,0.408
t869,0.197,0.35
t870,0.16,0.319
t871,0.12,0.296
t872,0.065,0.289
t873,0.031,0.294
t874,0.001,0.294
t875,0,0.362
t876,0,0.478
t877,0,0.519
t878,0,0.522
t879,0,0.535
t880,0,0.525
t881,0,0.51
t882,0,0.498
t883,0,0.492
t884,0,0.636
t885,0,0.809
t886,0,0.804
t887,0,0.88
t888,0.039,0.911
t889,0.333,0.912
t890,0.611,0.87
t891,0.758,0.766
t892,0.603,0.627
t893,0.564,0.51
t894,0.657,0.39
t895,0.496,0.348
t896,0.33,0.312
t897,0.125,0.299
t898,0.004,0.302
t899,0,0.31
t900,0,0.257
t901,0,0.225
t902,0,0.223
t903,0,0.163
t904,0,0.108
t905,0,0.058
t906,0,0.038
t907,0,0.058
t908,0,0.035
t909,0,0.033
t910,0,0.012
t911,0,0.008
t912,0.032,0.009
t913,0.157,0.002
t914,0.267,0
t915,0.56,0
t916,0.573,0
t917,0.536,0
t918,0.607,0
t919,0.525,0
t920,0.28,0
t921,0.078,0.001
t922,0.002,0.008
t923,0,0.037
t924,0,0.039
t925,0,0.023
t926,0,0.012
t927,0,0.004
t928,0,0.006
t929,0,0.019
t930,0,0.038
t931,0,0.075
t932,0,0.145
t933,0,0.267
t934,0,0.413
t935,0,0.485
t936,0.02,0.395
t937,0.054,0.251
t938,0.164,0.613
t939,0.562,0.525
t940,0.701,0.358
t941,0.656,0.231
t942,0.576,0.197
t943,0.44,0.192
t944,0.294,0.193
t945,0.129,0.186
t946,0.006,0.222
t947,0,0.249
t948,0,0.22
t949,0,0.157
t950,0,0.134
t951,0,0.106
t952,0,0.092
t953,0,0.1
t954,0,0.093
t955,0,0.073
t956,0,0.045
t957,0,0.016
t958,0,0.023
t959,0,0.017
t960,0.007,0.003
t961,0.055,0.001
t962,0.131,0
t963,0.197,0
t964,0.256,0
t965,0.323,0
t966,0.356,0
t967,0.272,0.001
t968,0.184,0.005
t969,0.089,0.019
t970,0.004,0.052
t971,0,0.107
t972,0,0.168
t973,0,0.24
t974,0,0.325
t975,0,0.42
t976,0,0.507
t977,0,0.571
t978,0,0.6
t979,0,0.589
t980,0,0.535
t981,0,0.464
t982,0,0.391
t983,0,0.316
t984,0.051,0.202
t985,0.263,0.05
t986,0.469,0.007
t987,0.61,0.009
t988,0.685,0.005
t989,0.696,0.001
t990,0.639,0
t991,0.397,0
t992,0.203,0.013
t993,0.075,0.107
t994,0.004,0.289
t995,0,0.432
t996,0,0.447
t997,0,0.376
t998,0,0.305
t999,0,0.25
t1000,0,0.217
t1001,0,0.216
t1002,0,0.207
t1003,0,0.136
t1004,0,0.077
t1005,0,0.045
t1006,0,0.015
t1007,0,0.004
t1008,0.012,0.001
t1009,0.092,0.001
t1010,0.217,0.001
t1011,0.389,0.001
t1012,0.572,0.001
t1013,0.58,0.001
t1014,0.527,0.003
t1015,0.399,0.008
t1016,0.225,0.023
t1017,0.096,0.079
t1018,0.006,0.235
t1019,0,0.42
t1020,0,0.478
t1021,0,0.457
t1022,0,0.41
t1023,0,0.373
t1024,0,0.296
t1025,0,0.226
t1026,0,0.192
t1027,0,0.212
t1028,0,0.264
t1029,0,0.294
t1030,0,0.307
t1031,0,0.334
t1032,0.02,0.373
t1033,0.097,0.388
t1034,0.184,0.331
t1035,0.203,0.28
t1036,0.198,0.256
t1037,0.182,0.274
t1038,0.15,0.286
t1039,0.107,0.307
t1040,0.058,0.317
t1041,0.019,0.218
t1042,0,0.103
t1043,0,0.112
t1044,0,0.147
t1045,0,0.157
t1046,0,0.152
t1047,0,0.155
t1048,0,0.178
t1049,0,0.177
t1050,0,0.184
t1051,0,0.183
t1052,0,0.168
t1053,0,0.13
t1054,0,0.077
t1055,0,0.063
t1056,0.011,0.076
t1057,0.066,0.045
t1058,0.143,0.01
t1059,0.2,0.001
t1060,0.187,0
t1061,0.203,0.001
t1062,0.213,0.01
t1063,0.189,0.029
t1064,0.138,0.069
t1065,0.07,0.15
t1066,0.006,0.266
t1067,0,0.364
t1068,0,0.378
t1069,0,0.344
t1070,0,0.224
t1071,0,0.074
t1072,0,0.006
t1073,0,0.005
t1074,0,0.027
t1075,0,0.062
t1076,0,0.101
t1077,0,0.133
t1078,0,0.145
t1079,0,0.157
t1080,0.059,0.146
t1081,0.347,0.112
t1082,0.586,0.217
t1083,0.741,0.345
t1084,0.825,0.388
t1085,0.845,0.379
t1086,0.802,0.365
t1087,0.687,0.365
t1088,0.506,0.346
t1089,0.261,0.284
t1090,0.032,0.313
t1091,0,0.323
t1092,0,0.228
t1093,0,0.104
t1094,0,0.021
t1095,0,0.001
t1096,0,0
t1097,0,0.001
t1098,0,0.017
t1099,0,0.084
t1100,0,0.195
t1101,0,0.277
t1102,0,0.277
t1103,0,0.233
t1104,0.155,0.202
t1105,0.416,0.136
t1106,0.629,0.238
t1107,0.772,0.146
t1108,0.848,0.1
t1109,0.859,0.07
t1110,0.811,0.06
t1111,0.703,0.067
t1112,0.519,0.081
t1113,0.249,0.096
t1114,0.025,0.11
t1115,0,0.073
t1116,0,0.028
t1117,0,0.004
t1118,0,0
t1119,0,0
t1120,0,0
t1121,0,0.004
t1122,0,0.025
t1123,0,0.081
t1124,0,0.151
t1125,0,0.202
t1126,0,0.223
t1127,0,0.206
t1128,0.118,0.149
t1129,0.353,0.046
t1130,0.542,0.004
t1131,0.664,0
t1132,0.727,0
t1133,0.727,0
t1134,0.711,0
t1135,0.618,0
t1136,0.433,0
t1137,0.199,0.003
t1138,0.017,0.054
t1139,0,0.135
t1140,0,0.203
t1141,0,0.27
t1142,0,0.287
t1143,0,0.232
t1144,0,0.113
t1145,0,0.024
t1146,0,0.019
t1147,0,0.034
t1148,0,0.024
t1149,0,0.049
t1150,0,0.069
t1151,0,0.077
t1152,0.013,0.051
t1153,0.106,0.012
t1154,0.157,0.013
t1155,0.119,0.03
t1156,0.189,0.024
t1157,0.279,0.014
t1158,0.265,0.011
t1159,0.203,0.002
t1160,0.13,0
t1161,0.059,0
t1162,0.005,0
t1163,0,0.001
t1164,0,0.01
t1165,0,0.022
t1166,0,0.045
t1167,0,0.084
t1168,0,0.118
t1169,0,0.155
t1170,0,0.184
t1171,0,0.193
t1172,0,0.202
t1173,0,0.2
t1174,0,0.21
t1175,0,0.22
t1176,0.054,0.156
t1177,0.237,0.062
t1178,0.441,0.06
t1179,0.596,0.035
t1180,0.684,0.015
t1181,0.708,0.007
t1182,0.648,0.006
t1183,0.371,0.002
t1184,0.261,0
t1185,0.132,0
t1186,0.017,0.009
t1187,0,0.05
t1188,0,0.101
t1189,0,0.141
t1190,0,0.189
t1191,0,0.249
t1192,0,0.267
t1193,0,0.219
t1194,0,0.135
t1195,0,0.059
t1196,0,0.012
t1197,0,0
t1198,0,0
t1199,0,0.005
t1200,0.086,0.021
t1201,0.277,0.021
t1202,0.503,0.06
t1203,0.55,0.026
t1204,0.667,0.002
t1205,0.681,0
t1206,0.489,0
t1207,0.264,0
t1208,0.137,0
t1209,0.062,0
t1210,0.006,0.002
t1211,0,0.01
t1212,0,0.019
t1213,0,0.027
t1214,0,0.031
t1215,0,0.029
t1216,0,0.019
t1217,0,0.006
t1218,0,0.001
t1219,0,0
t1220,0,0
t1221,0,0
t1222,0,0
t1223,0,0.001
t1224,0.095,0.011
t1225,0.319,0.004
t1226,0.533,0
t1227,0.671,0
t1228,0.737,0.001
t1229,0.751,0
t1230,0.678,0
t1231,0.51,0
t1232,0.307,0
t1233,0.123,0.001
t1234,0.014,0.009
t1235,0,0.017
t1236,0,0.015
t1237,0,0.018
t1238,0,0.023
t1239,0,0.017
t1240,0,0.009
t1241,0,0.004
t1242,0,0.001
t1243,0,0
t1244,0,0
t1245,0,0
t1246,0,0
t1247,0,0
t1248,0.039,0
t1249,0.142,0
t1250,0.276,0
t1251,0.347,0
t1252,0.329,0
t1253,0.289,0
t1254,0.247,0
t1255,0.209,0
t1256,0.146,0
t1257,0.073,0.002
t1258,0.009,0.008
t1259,0,0.015
t1260,0,0.018
t1261,0,0.013
t1262,0,0.006
t1263,0,0.002
t1264,0,0.002
t1265,0,0.002
t1266,0,0.004
t1267,0,0.005
t1268,0,0.005
t1269,0,0.006
t1270,0,0.007
t1271,0,0.005
t1272,0.077,0.003
t1273,0.297,0
t1274,0.499,0
t1275,0.632,0
t1276,0.68,0
t1277,0.696,0
t1278,0.651,0
t1279,0.516,0
t1280,0.356,0.002
