t,s,w
t501,0,0.802
t502,0,0.786
t503,0,0.77
t504,0.022,0.758
t505,0.353,0.61
t506,0.592,0.38
t507,0.743,0.5
t508,0.818,0.58
t509,0.833,0.567
t510,0.79,0.514
t511,0.683,0.437
t512,0.509,0.332
t513,0.253,0.268
t514,0.011,0.25
t515,0,0.317
t516,0,0.43
t517,0,0.501
t518,0,0.503
t519,0,0.457
t520,0,0.41
t521,0,0.379
t522,0,0.344
t523,0,0.317
t524,0,0.291
t525,0,0.251
t526,0,0.207
t527,0,0.154
t528,0.022,0.098
t529,0.326,0.077
t530,0.553,0.055
t531,0.699,0.077
t532,0.761,0.21
t533,0.78,0.223
t534,0.74,0.216
t535,0.608,0.226
t536,0.428,0.271
t537,0.18,0.418
t538,0.005,0.491
t539,0,0.395
t540,0,0.253
t541,0,0.164
t542,0,0.131
t543,0,0.113
t544,0,0.102
t545,0,0.087
t546,0,0.068
t547,0,0.052
t548,0,0.044
t549,0,0.039
t550,0,0.031
t551,0,0.023
t552,0.009,0.019
t553,0.155,0.022
t554,0.406,0.018
t555,0.573,0.118
t556,0.664,0.206
t557,0.632,0.211
t558,0.406,0.177
t559,0.291,0.113
t560,0.148,0.061
t561,0.047,0.027
t562,0.001,0.009
t563,0,0.003
t564,0,0.002
t565,0,0.001
t566,0,0
t567,0,0.002
t568,0,0.026
t569,0,0.121
t570,0,0.294
t571,0,0.504
t572,0,0.661
t573,0,0.811
t574,0,0.872
t575,0,0.849
t576,0,0.819
t577,0.042,0.795
t578,0.132,0.746
t579,0.262,0.594
t580,0.364,0.364
t581,0.407,0.183
t582,0.455,0.094
t583,0.441,0.051
t584,0.322,0.031
t585,0.126,0.038
t586,0.004,0.099
t587,0,0.141
t588,0,0.153
t589,0,0.131
t590,0,0.085
t591,0,0.037
t592,0,0.014
t593,0,0.006
t594,0,0.002
t595,0,0.002
t596,0,0.002
t597,0,0.003
t598,0,0.003
t599,0,0.004
t600,0.009,0.01
t601,0.206,0.017
t602,0.443,0.026
t603,0.592,0.043
t604,0.635,0.049
t605,0.574,0.049
t606,0.524,0.046
t607,0.471,0.039
t608,0.337,0.041
t609,0.142,0.083
t610,0.005,0.179
t611,0,0.264
t612,0,0.274
t613,0,0.236
t614,0,0.211
t615,0,0.219
t616,0,0.26
t617,0,0.325
t618,0,0.362
t619,0,0.341
t620,0,0.362
t621,0,0.403
t622,0,0.424
t623,0,0.381
t624,0.001,0.347
t625,0.033,0.284
t626,0.147,0.248
t627,0.216,0.362
t628,0.261,0.334
t629,0.292,0.328
t630,0.261,0.355
t631,0.235,0.319
t632,0.217,0.279
t633,0.105,0.238
t634,0.004,0.197
t635,0,0.148
t636,0,0.115
t637,0,0.146
t638,0,0.2
t639,0,0.234
t640,0,0.263
t641,0,0.282
t642,0,0.274
t643,0,0.285
t644,0,0.24
t645,0,0.176
t646,0,0.136
t647,0,0.078
t648,0.001,0.049
t649,0.063,0.022
t650,0.2,0.007
t651,0.391,0.001
t652,0.532,0.001
t653,0.512,0.026
t654,0.373,0.064
t655,0.253,0.101
t656,0.165,0.118
t657,0.068,0.115
t658,0.002,0.139
t659,0,0.19
t660,0,0.26
t661,0,0.323
t662,0,0.365
t663,0,0.367
t664,0,0.323
t665,0,0.282
t666,0,0.241
t667,0,0.248
t668,0,0.345
t669,0,0.433
t670,0,0.383
t671,0,0.349
t672,0.001,0.331
t673,0.04,0.27
t674,0.109,0.136
t675,0.195,0.09
t676,0.26,0.101
t677,0.284,0.09
t678,0.306,0.081
t679,0.277,0.067
t680,0.193,0.045
t681,0.092,0.024
t682,0.004,0.017
t683,0,0.028
t684,0,0.055
t685,0,0.093
t686,0,0.112
t687,0,0.115
t688,0,0.111
t689,0,0.095
t690,0,0.074
t691,0,0.078
t692,0,0.115
t693,0,0.151
t694,0,0.28
t695,0,0.504
t696,0.001,0.583
t697,0.026,0.552
t698,0.083,0.707
t699,0.165,0.837
t700,0.306,0.861
t701,0.337,0.862
t702,0.269,0.844
t703,0.115,0.829
t704,0.049,0.839
t705,0.014,0.824
t706,0,0.829
t707,0,0.837
t708,0,0.814
t709,0,0.795
t710,0,0.739
t711,0,0.627
t712,0,0.535
t713,0,0.484
t714,0,0.459
