t,s,w
t791,0,0.457
t792,0.027,0.369
t793,0.098,0.256
t794,0.168,0.231
t795,0.237,0.111
t796,0.418,0.029
t797,0.632,0.022
t798,0.657,0.062
t799,0.553,0.138
t800,0.351,0.171
t801,0.096,0.3
t802,0,0.602
t803,0,0.819
t804,0,0.822
t805,0,0.739
t806,0,0.607
t807,0,0.447
t808,0,0.368
t809,0,0.322
t810,0,0.291
t811,0,0.273
t812,0,0.256
t813,0,0.237
t814,0,0.248
t815,0,0.289
t816,0.082,0.343
t817,0.325,0.291
t818,0.53,0.329
t819,0.661,0.494
t820,0.667,0.464
t821,0.67,0.386
t822,0.606,0.323
t823,0.411,0.205
t824,0.222,0.059
t825,0.052,0
t826,0,0.001
t827,0,0.028
t828,0,0.082
t829,0,0.149
t830,0,0.242
t831,0,0.32
t832,0,0.384
t833,0,0.464
t834,0,0.59
t835,0,0.694
t836,0,0.733
t837,0,0.737
t838,0,0.734
t839,0,0.727
t840,0.058,0.701
t841,0.27,0.846
t842,0.479,0.841
t843,0.617,0.722
t844,0.663,0.544
t845,0.665,0.366
t846,0.604,0.25
t847,0.436,0.169
t848,0.252,0.143
t849,0.066,0.207
t850,0,0.352
t851,0,0.404
t852,0,0.351
t853,0,0.247
t854,0,0.236
t855,0,0.374
t856,0,0.525
t857,0,0.718
t858,0,0.809
t859,0,0.812
t860,0,0.807
t861,0,0.777
t862,0,0.719
t863,0,0.624
t864,0.023,0.599
t865,0.148,0.67
t866,0.468,0.658
t867,0.66,0.544
t868,0.72,0.383
t869,0.724,0.236
t870,0.662,0.146
t871,0.52,0.11
t872,0.32,0.088
t873,0.091,0.086
t874,0,0.176
t875,0,0.307
t876,0,0.362
t877,0,0.344
t878,0,0.323
t879,0,0.269
t880,0,0.251
t881,0,0.422
t882,0,0.625
t883,0,0.72
t884,0,0.661
t885,0,0.563
t886,0,0.453
t887,0,0.377
t888,0.173,0.308
t889,0.457,0.352
t890,0.669,0.37
t891,0.802,0.344
t892,0.843,0.32
t893,0.818,0.286
t894,0.788,0.249
t895,0.634,0.186
t896,0.403,0.147
t897,0.092,0.083
t898,0,0.027
t899,0,0.009
t900,0,0.006
t901,0,0.013
t902,0,0.029
t903,0,0.076
t904,0,0.088
t905,0,0.08
t906,0,0.069
t907,0,0.074
t908,0,0.162
t909,0,0.199
t910,0,0.217
t911,0,0.232
t912,0.017,0.185
t913,0.067,0.161
t914,0.125,0.189
t915,0.21,0.094
t916,0.29,0.02
t917,0.475,0.002
t918,0.634,0.004
t919,0.529,0.008
t920,0.341,0.008
t921,0.106,0.002
t922,0,0
t923,0,0.006
t924,0,0.026
t925,0,0.027
t926,0,0.105
t927,0,0.289
t928,0,0.491
t929,0,0.633
t930,0,0.69
t931,0,0.716
t932,0,0.586
t933,0,0.447
t934,0,0.345
t935,0,0.278
t936,0.17,0.223
t937,0.444,0.169
t938,0.643,0.28
t939,0.774,0.162
t940,0.765,0.084
t941,0.757,0.047
t942,0.712,0.02
t943,0.497,0.005
t944,0.28,0.003
t945,0.078,0
t946,0,0
t947,0,0.003
t948,0,0.02
t949,0,0.045
t950,0,0.053
t951,0,0.08
t952,0,0.103
t953,0,0.113
t954,0,0.112
t955,0,0.079
t956,0,0.041
t957,0,0.028
t958,0,0.029
t959,0,0.041
t960,0.022,0.046
t961,0.085,0.017
t962,0.165,0
t963,0.238,0.001
t964,0.251,0.017
t965,0.229,0.042
t966,0.199,0.045
t967,0.162,0.044
t968,0.112,0.046
t969,0.046,0.05
t970,0,0.076
t971,0,0.094
t972,0,0.105
t973,0,0.136
t974,0,0.164
t975,0,0.192
t976,0,0.207
t977,0,0.213
t978,0,0.188
t979,0,0.162
t980,0,0.136
t981,0,0.091
t982,0,0.048
t983,0,0.03
t984,0.036,0.016
t985,0.146,0.007
t986,0.303,0.017
t987,0.436,0.046
t988,0.47,0.045
t989,0.534,0.032
t990,0.586,0.022
t991,0.495,0.019
t992,0.321,0.016
t993,0.116,0.007
t994,0,0.001
t995,0,0.001
t996,0,0.002
t997,0,0.003
t998,0,0.037
t999,0,0.16
t1000,0,0.34
t1001,0,0.463
t1002,0,0.601
t1003,0,0.695
t1004,0,0.724
t1005,0,0.75
t1006,0,0.744
t1007,0,0.741
t1008,0.019,0.82
t1009,0.084,0.893
t1010,0.145,0.85
t1011,0.185,0.781
t1012,0.239,0.69
t1013,0.274,0.56
t1014,0.248,0.432
t1015,0.181,0.353
t1016,0.107,0.305
t1017,0.033,0.256
t1018,0,0.222
t1019,0,0.206
t1020,0,0.194
t1021,0,0.158
t1022,0,0.097
t1023,0,0.047
t1024,0,0.035
t1025,0,0.059
t1026,0,0.093
t1027,0,0.124
t1028,0,0.154
t1029,0,0.182
t1030,0,0.222
t1031,0,0.276
t1032,0.093,0.306
t1033,0.34,0.222
t1034,0.564,0.217
t1035,0.717,0.102
t1036,0.778,0.031
t1037,0.776,0.005
t1038,0.681,0.001
t1039,0.511,0
t1040,0.303,0
t1041,0.095,0
t1042,0,0.009
t1043,0,0.047
t1044,0,0.07
t1045,0,0.077
t1046,0,0.063
t1047,0,0.035
t1048,0,0.025
t1049,0,0.058
t1050,0,0.13
t1051,0,0.209
t1052,0,0.266
t1053,0,0.302
t1054,0,0.337
t1055,0,0.349
t1056,0.043,0.286
t1057,0.092,0.132
t1058,0.132,0.08
t1059,0.167,0.094
t1060,0.18,0.061
t1061,0.138,0.034
t1062,0.084,0.035
t1063,0.065,0.05
t1064,0.049,0.07
t1065,0.011,0.076
t1066,0,0.076
t1067,0,0.076
t1068,0,0.077
t1069,0,0.067
t1070,0,0.054
t1071,0,0.064
t1072,0,0.12
t1073,0,0.245
t1074,0,0.389
t1075,0,0.457
t1076,0,0.495
t1077,0,0.546
t1078,0,0.546
t1079,0,0.564
t1080,0.115,0.54
t1081,0.376,0.505
t1082,0.577,0.761
t1083,0.705,0.744
t1084,0.774,0.713
t1085,0.781,0.69
t1086,0.723,0.674
t1087,0.591,0.668
t1088,0.406,0.659
t1089,0.167,0.578
t1090,0.003,0.571
t1091,0,0.68
t1092,0,0.761
