t,s,w
t669,0,0.311
t670,0,0.359
t671,0,0.391
t672,0.061,0.37
t673,0.215,0.182
t674,0.364,0.145
t675,0.448,0.075
t676,0.378,0.043
t677,0.362,0.044
t678,0.291,0.059
t679,0.192,0.084
t680,0.092,0.119
t681,0.022,0.197
t682,0,0.325
t683,0,0.4
t684,0,0.398
t685,0,0.372
t686,0,0.34
t687,0,0.302
t688,0,0.25
t689,0,0.207
t690,0,0.19
t691,0,0.213
t692,0,0.236
t693,0,0.259
t694,0,0.278
t695,0,0.3
t696,0.022,0.272
t697,0.079,0.155
t698,0.123,0.171
t699,0.148,0.199
t700,0.16,0.166
t701,0.134,0.122
t702,0.104,0.099
t703,0.059,0.099
t704,0.026,0.14
t705,0.003,0.225
t706,0,0.352
t707,0,0.447
t708,0,0.481
t709,0,0.516
t710,0,0.544
t711,0,0.552
t712,0,0.571
t713,0,0.601
t714,0,0.621
t715,0,0.766
t716,0,0.882
t717,0,0.921
t718,0,0.908
t719,0,0.846
t720,0.019,0.89
t721,0.065,0.944
t722,0.151,0.982
t723,0.324,0.985
t724,0.475,0.959
t725,0.53,0.885
t726,0.521,0.747
t727,0.287,0.669
t728,0.175,0.535
t729,0.053,0.337
t730,0,0.268
t731,0,0.268
t732,0,0.274
t733,0,0.284
t734,0,0.282
t735,0,0.278
t736,0,0.251
t737,0,0.211
t738,0,0.182
t739,0,0.17
t740,0,0.177
t741,0,0.179
t742,0,0.192
t743,0,0.223
t744,0.136,0.169
t745,0.39,0.119
t746,0.583,0.133
t747,0.704,0.114
t748,0.74,0.1
t749,0.732,0.085
t750,0.66,0.064
t751,0.482,0.038
t752,0.286,0.019
t753,0.08,0.021
t754,0,0.048
t755,0,0.09
t756,0,0.151
t757,0,0.225
t758,0,0.277
t759,0,0.309
t760,0,0.348
t761,0,0.404
t762,0,0.464
t763,0,0.514
t764,0,0.574
t765,0,0.61
t766,0,0.608
t767,0,0.583
t768,0.066,0.588
t769,0.314,0.574
t770,0.461,0.731
t771,0.474,0.763
t772,0.459,0.722
t773,0.345,0.642
t774,0.218,0.503
t775,0.176,0.376
t776,0.116,0.226
t777,0.037,0.123
t778,0,0.145
t779,0,0.254
t780,0,0.365
t781,0,0.37
t782,0,0.34
t783,0,0.36
t784,0,0.411
t785,0,0.355
t786,0,0.294
t787,0,0.355
t788,0,0.398
t789,0,0.459
t790,0,0.367
t791,0,0.27
t792,0.016,0.204
t793,0.077,0.204
t794,0.196,0.305
t795,0.248,0.432
t796,0.291,0.519
t797,0.263,0.613
t798,0.164,0.63
t799,0.148,0.58
t800,0.081,0.519
t801,0.019,0.386
t802,0,0.234
t803,0,0.207
t804,0,0.201
t805,0,0.228
t806,0,0.317
t807,0,0.392
t808,0,0.407
t809,0,0.408
t810,0,0.398
t811,0,0.362
t812,0,0.31
t813,0,0.261
t814,0,0.18
t815,0,0.096
t816,0.062,0.034
t817,0.278,0.061
t818,0.612,0.159
t819,0.732,0.158
t820,0.771,0.122
t821,0.758,0.091
t822,0.683,0.067
t823,0.526,0.051
t824,0.29,0.064
t825,0.078,0.169
t826,0,0.423
t827,0,0.599
t828,0,0.634
t829,0,0.607
t830,0,0.566
t831,0,0.523
t832,0,0.479
t833,0,0.442
t834,0,0.418
t835,0,0.38
t836,0,0.37
t837,0,0.395
t838,0,0.395
t839,0,0.313
t840,0.103,0.226
t841,0.26,0.163
t842,0.456,0.232
t843,0.537,0.187
t844,0.459,0.152
t845,0.41,0.112
t846,0.374,0.074
t847,0.327,0.088
t848,0.079,0.079
t849,0.017,0.104
t850,0,0.116
t851,0,0.145
t852,0,0.149
t853,0,0.105
t854,0,0.212
t855,0,0.212
t856,0,0.174
t857,0,0.171
t858,0,0.155
t859,0,0.078
t860,0,0.029
t861,0,0.023
t862,0,0.018
t863,0,0.008
t864,0.028,0.005
t865,0.113,0.01
